ticker,last_close,r3,r6,r12,rs3,rs6,rs12,high52,near_52w_gap_pct,pivot_tight_range_pct,vol_contraction_score,vol10_over_vol50,breakout_trigger,vol_today,vol50_avg,over_trigger_high,over_trigger_close,pivot_low7,rs_composite,rs3_pctile,rs6_pctile,rs12_pctile,rs_composite_pctile
ADM,62.939998626708984,0.3512118887795319,0.3344151692651729,0.07985774369334697,0.23443270576876984,0.17374546120487322,-0.09023880683384244,64.20999908447266,0.01977885805749505,0.03272960626371608,0.002612420476489972,1.0170712316591406,64.37999725341797,2656000.0,3411236.0,False,False,61.119998931884766,0.13915478096629907,86.8421052631579,64.91228070175438,11.403508771929824,57.89473684210527
ADSK,326.3699951171875,0.09439337999214703,0.2533890577863829,0.265834123703494,-0.00019013120187116872,0.1024752652585239,0.06644302868281882,326.3699951171875,0.0,0.13374389358559527,-0.0007551177325160114,1.297822942921716,326.8500061035156,1632200.0,1720304.0,True,False,283.20001220703125,0.06446919900526436,5.263157894736842,41.228070175438596,44.73684210526316,22.807017543859647
ALLE,171.86000061035156,0.247879616083984,0.3600402589663445,0.272920358342984,0.1400309779302027,0.19628517254994193,0.07241305697434952,172.24000549316406,0.0022062521521899383,0.03729782171153608,-0.0030528099826716724,0.8542560587341862,173.25,596800.0,903324.0,True,False,166.83999633789062,0.15463449104890167,65.78947368421053,71.05263157894737,46.49122807017544,62.28070175438597
ANET,142.85000610351562,0.5008405720266382,0.6937397712375613,0.748898207269763,0.37112965304635637,0.48980573268439187,0.47341603934797627,142.85000610351562,0.0,0.10577528851767894,0.00590160149085723,0.8287911334780184,145.4600067138672,9565100.0,9017290.0,True,False,130.35000610351562,0.4509249701256981,98.24561403508771,94.73684210526315,87.71929824561403,95.6140350877193
APA,22.75,0.2918736922915959,0.2500254929679757,-0.10523339597234882,0.1802228434560551,0.09951668907473543,-0.24617484289987224,25.73940086364746,0.11614104304461424,0.0843956077491844,-0.0077150078466279096,0.9561744370126689,23.8700008392334,5994300.0,6703348.0,False,False,21.950000762939453,0.05459022899420979,75.43859649122807,38.59649122807017,0.8771929824561403,15.789473684210526
APH,110.44999694824219,0.19590911557886836,0.7964717834629416,0.8004566402843738,0.09255205468254424,0.5801683393507899,0.5168531141025838,112.75,0.02039914014862805,0.0746039449600474,0.003423753828318296,0.8646554261669346,113.69000244140625,12408400.0,8330116.0,True,False,105.44999694824219,0.421220408900675,48.24561403508772,96.49122807017544,89.47368421052632,94.73684210526315
APP,490.239990234375,0.1837542205394922,0.8882254786215924,4.562691541050308,0.08144765270355836,0.6608744686887433,3.6864699754733063,510.1300048828125,0.03899008969881442,0.11983926478929773,-0.0022066023766540025,0.964783446223691,511.0,8139600.0,5651206.0,False,False,452.25,1.0921655252501004,44.73684210526316,98.24561403508771,100.0,100.0
APTV,80.44000244140625,0.22846668169708573,0.23487877180098926,0.14733991928577295,0.12229581639030873,0.08619370262241866,-0.03338625848387422,80.44999694824219,0.00012423253219471847,0.056563934779491155,-0.0047684147953775576,0.984832569723192,82.05000305175781,2586500.0,2494292.0,True,False,77.5,0.0731083445315271,56.14035087719298,26.31578947368421,19.298245614035086,32.45614035087719
AVGO,334.8900146484375,0.291417854855599,0.8762551481420182,1.2168108676634528,0.179806402005102,0.65034542091326,0.8676242419593376,334.8900146484375,0.0,0.20654537276296475,0.0020087114062947537,1.3301273762994377,356.3399963378906,78335000.0,19489968.0,True,False,287.1700134277344,0.5526394794500281,74.56140350877193,97.36842105263158,96.49122807017544,97.36842105263158
AXP,326.2200012207031,0.10502642554566588,0.1904270951482887,0.29668604757303596,0.00952394791642952,0.04709421176247486,0.09243523296616063,331.2799987792969,0.015274081071114672,0.03969708062348959,-0.011211866999451496,0.9776423652564902,332.4599914550781,2971300.0,2608326.0,True,False,319.510009765625,0.04489133684939842,9.649122807017543,14.912280701754385,48.24561403508772,9.649122807017543
AZO,4219.41015625,0.13265154184282935,0.1669400354186512,0.34390246785247514,0.03476154931785436,0.0264351017720732,0.1322142382113698,4232.9599609375,0.003201023589294485,0.01993646364596651,-0.004625543114714134,0.8189331970006817,4248.14013671875,92400.0,117360.0,True,False,4164.02001953125,0.05008886332366687,21.929824561403507,4.385964912280701,55.26315789473685,12.280701754385964
BA,229.61000061035156,0.09850730033978583,0.44928366613155446,0.42597189490710674,0.0035682414621229785,0.27478326408490705,0.20135628985265264,237.3800048828125,0.032732345238162576,0.05587736508405492,-0.0025212901107430365,0.8408214513472653,238.3300018310547,8199100.0,7046942.0,False,False,225.5,0.17873336245162094,6.140350877192982,85.08771929824562,64.91228070175438,70.17543859649122
BAC,49.77000045776367,0.1280597769595413,0.21512866932450203,0.25281946403872624,0.030566630078170176,0.06882160308845298,0.05547840637546342,50.7400016784668,0.01911709082805918,0.03395617060809891,-0.007711375922699118,1.0131311135979417,50.91999816894531,40059900.0,38908962.0,False,False,49.22999954223633,0.05467647184277022,18.421052631578945,21.052631578947366,41.228070175438596,16.666666666666664
BEN,24.969999313354492,0.16390843657007248,0.2832635459517976,0.3153140816030038,0.06331705082911743,0.12875272799846238,0.10812902463864593,26.030000686645508,0.04072229524891412,0.0476572113248389,-0.0055470609599416135,0.9245708232508386,26.079999923706055,4708300.0,3851560.0,False,False,24.719999313354492,0.10499728417569561,36.84210526315789,51.75438596491229,50.0,43.859649122807014
