ticker,last_close,r3,r6,r12,rs3,rs6,rs12,high52,near_52w_gap_pct,pivot_tight_range_pct,vol_contraction_score,vol10_over_vol50,breakout_trigger,vol_today,vol50_avg,over_trigger_high,over_trigger_close,pivot_low7,rs_composite,rs3_pctile,rs6_pctile,rs12_pctile,rs_composite_pctile,trigger_price,stop_suggest,risk_pct,max_entry_price,position_risk_$
ADI,247.55999755859375,0.06513705519504454,0.19413944649183046,0.17870579505994,-0.018534230210269786,0.01124776223984747,-0.03597218976809058,254.6230010986328,0.027739063280080814,0.041000137326637445,-0.008303684817015133,0.8072021992068137,258.1300048828125,637006.0,3477952.12,False,False,239.5800018310547,-0.0071308258967753176,5.217391304347826,2.608695652173913,16.52173913043478,4.3478260869565215,258.1300048828125,239.5800018310547,0.07186302522319814,262.00195495605465,17.79041034880809
ADM,60.28499984741211,0.2474796978234437,0.26288476654212034,0.05430697817900554,0.14948458130315023,0.06946420527717523,-0.1377142186405872,64.20999908447266,0.06112753921545679,0.06070332804732363,0.0038808389273635503,0.8788050817693583,64.37999725341797,1276486.0,3314999.72,False,False,59.59049987792969,0.05203463330141525,71.30434782608695,26.956521739130434,8.695652173913043,18.26086956521739,64.37999725341797,59.59049987792969,0.07439418421587467,65.34569721221924,4.484853384102353
ADSK,323.489990234375,0.08721510030317581,0.28957537318489757,0.29204775549467565,0.001809485588385451,0.09206693925403764,0.05672677072165033,326.7900085449219,0.010098283987447068,0.05097527197805308,0.0020930850112430154,1.2706632295355504,329.0899963378906,454393.0,1702031.86,False,False,312.6000061035156,0.05792166944786452,13.91304347826087,33.04347826086956,33.04347826086956,22.608695652173914,329.0899963378906,312.6000061035156,0.05010784410913551,334.02634628295897,16.209386001529833
ALLE,171.06869506835938,0.22932747381534302,0.36871739216557997,0.2906105177461338,0.1327582957771587,0.15908774643738544,0.05555129744806808,173.10000610351562,0.011734898691693313,0.037470348736499834,-0.0009053873344640734,0.7110259070034669,173.25,151825.0,890280.5,False,False,166.83999633789062,0.13048162144145395,62.60869565217392,56.52173913043478,32.17391304347826,53.91304347826087,173.25,166.83999633789062,0.03699857813627345,175.84875,6.32929848115703
ANET,150.33999633789062,0.6044824037820953,0.8999115576412684,0.9132703064574228,0.47844312603856287,0.6089254205300219,0.5648059012232898,150.33999633789062,0.0,0.13775447132060084,0.007594733460696652,0.897632601828267,151.7100067138672,9525071.0,8724167.42,True,False,131.0,0.5609568283212377,98.26086956521739,93.04347826086956,86.08695652173914,93.04347826086956,151.7100067138672,131.0,0.13651048577782557,153.98565681457518,20.522985931921966
APA,22.135000228881836,0.1637223262704126,0.18772805073702892,-0.07768347539092357,0.07230672635395119,0.005818321290614659,-0.24566521749018955,25.739398956298828,0.1400343004720761,0.10390788889209629,-0.0032992142332135895,0.9322036394088176,23.8700008392334,1932462.0,6628129.24,False,False,21.56999969482422,-0.024531864946545225,43.47826086956522,0.8695652173913043,1.7391304347826086,1.7391304347826086,23.8700008392334,21.56999969482422,0.0963553022012816,24.228050851821898,2.132824636279347
APH,119.76000213623047,0.2971347678968135,0.9513754289056904,1.0194142994915887,0.1952390232651744,0.6525072022099074,0.6516178619371966,119.76000213623047,0.0,0.12324650862514631,0.0065242109985185846,1.0069660022694684,120.20999908447266,8740159.0,8162317.18,True,False,105.44999694824219,0.5151488804719454,82.6086956521739,93.91304347826087,89.56521739130436,92.17391304347827,120.20999908447266,105.44999694824219,0.12278514473540991,122.01314907073973,14.704749195810058
APP,563.8499755859375,0.4698521861186502,1.1874998224070241,5.6672576282443305,0.3543887148512477,0.8524673201341237,4.45294830868421,563.8499755859375,0.0,0.21592623086217344,0.0021776000548744154,1.1958909538177938,574.0,2726925.0,5567934.5,True,False,452.25,1.4231399362592783,93.04347826086956,96.52173913043478,100.0,100.0,574.0,452.25,0.21210801393728224,582.6099999999999,119.59709848011828
APTV,81.36499786376953,0.1562454837011007,0.28762461832652075,0.18798365311105858,0.06541722325001254,0.09041495757718443,-0.02838411035238908,82.30000305175781,0.011360937464367577,0.06440113072383935,-0.0015955499026583419,0.871922141603217,82.73999786376953,585907.0,2461264.14,False,False,77.5,0.059155823693118156,40.0,32.17391304347826,19.130434782608695,23.47826086956522,82.73999786376953,77.5,0.06333089193931486,83.98109783172606,5.152917887352973
ARM,151.25999450683594,0.07558834711611828,0.3567135833266555,0.28962395196649293,-0.008903934070834896,0.14892241368468317,0.05474441514360917,179.92999267578125,0.1593397395430691,0.14346167522867756,-0.004600307771790599,0.7453504345154565,151.9600067138672,5120224.0,4548588.48,True,False,130.25999450683594,0.08273890964981295,8.695652173913043,55.65217391304348,31.30434782608696,33.91304347826087,151.9600067138672,130.25999450683594,0.14280081105742018,154.23940681457518,21.600049896117092
AVGO,369.25,0.5129750826944337,0.9529648559154675,1.7259711183568363,0.3941241147952146,0.6538531961904284,1.2294893085270142,369.25,0.0,0.23236286470675355,0.005921908616933909,1.507863427030853,372.9700012207031,28194697.0,19948145.94,True,False,287.1700134277344,0.6910616942391814,97.3913043478261,94.78260869565217,96.52173913043478,95.65217391304348,372.9700012207031,287.1700134277344,0.23004527847320633,378.5645512390136,84.94421907623143
