ticker,last_close,r3,r6,r12,rs3,rs6,rs12,high52,near_52w_gap_pct,pivot_tight_range_pct,vol_contraction_score,vol10_over_vol50,breakout_trigger,vol_today,vol50_avg,over_trigger_high,over_trigger_close,pivot_low7,rs_composite,rs3_pctile,rs6_pctile,rs12_pctile,rs_composite_pctile,trigger_price,stop_suggest,risk_pct,max_entry_price
GOOGL,369.17999267578125,0.23757163922495517,0.15659214951183742,1.2044635079103756,0.11614265142202052,0.05783925560041103,0.7468956464822261,402.6199951171875,0.08305599038039113,0.09152719328047852,0.0022867451072057176,1.1469857129843883,408.6099853515625,16407787.0,29210423.74,False,False,358.0799865722656,0.2131415525232569,80.0,60.0,100.0,100.0,408.6099853515625,358.0799865722656,0.12366315212738022,416.78218505859377
KO,79.93720245361328,0.04474101612461445,0.13665944659836282,0.15250779061210618,-0.057767671116853214,0.039608459531983886,-0.08671164900998207,81.91999816894531,0.02420404980042688,0.06192366539858778,0.00015124286828139023,1.0459260982734422,82.66000366210938,9733359.0,14436121.18,False,False,76.80999755859375,-0.014868401371060436,20.0,40.0,20.0,20.0,82.66000366210938,76.80999755859375,0.07077190714179966,84.31320373535156
LLY,1150.0,0.16322802692039184,0.1164347278891813,0.512241575326551,0.04909354175926817,0.021110580748111563,0.19835425485064406,1150.0,0.0,0.09925218665081521,-0.008131749815621137,1.0159589669327698,1166.2900390625,2270356.0,3180311.12,True,False,1052.1500244140625,0.06495420387196504,40.0,20.0,80.0,40.0,1166.2900390625,1052.1500244140625,0.0978658916955055,1189.61583984375
NVDA,207.47999572753906,0.16822089699345733,0.15677156358704614,0.4639991610547669,0.053596517639554975,0.05800335082779351,0.16012524213858703,235.465576171875,0.11885210950711636,0.12357817581275962,0.007960764560732254,1.1128949706107,236.5399932861328,107533493.0,161844777.86,False,False,206.63999938964844,0.07710567913348065,60.0,80.0,60.0,60.0,236.5399932861328,206.63999938964844,0.12640565969880438,241.2707931518555
UNH,402.110107421875,0.4145357575341171,0.20090915271946508,0.3764194869419579,0.27574327085755135,0.09837235597065352,0.09072397925580034,402.110107421875,0.0,0.07281587365964337,-0.005100256809106394,0.8459397339610134,404.1499938964844,5203937.0,7849960.74,False,False,374.7200012207031,0.15005395509375224,100.0,100.0,40.0,80.0,404.1499938964844,374.7200012207031,0.07281948068844758,412.23299377441407
