ticker,last_close,r3,r6,r12,rs3,rs6,rs12,high52,near_52w_gap_pct,pivot_tight_range_pct,vol_contraction_score,vol10_over_vol50,breakout_trigger,vol_today,vol50_avg,over_trigger_high,over_trigger_close,pivot_low7,rs_composite,rs3_pctile,rs6_pctile,rs12_pctile,rs_composite_pctile,trigger_price,stop_suggest,risk_pct,max_entry_price
A,147.99000549316406,0.08515965330111563,0.23711035258642466,0.08891475695970685,0.016374952761279093,0.10557401799897925,-0.08732698207517486,156.91954040527344,0.05690518140090913,0.09973642785977009,0.0029379573115566656,0.9672277108191312,150.02999877929688,1127900.0,1987960.0,False,False,135.27000427246094,0.040234098412838384,15.555555555555555,36.2962962962963,11.11111111111111,11.851851851851853,150.02999877929688,135.27000427246094,0.0983802881219027,153.03059875488282
ADI,293.8599853515625,0.3087958008511409,0.21606899659320988,0.35504511772628566,0.22583554062078703,0.08676989398455315,0.13572996335590237,300.92999267578125,0.023493860686182585,0.11141367448441221,0.0048968169839007075,0.8281633653976141,303.20001220703125,3306700.0,3816916.0,False,False,270.4599914550781,0.13828160184969315,75.55555555555556,29.629629629629626,42.22222222222222,41.48148148148148,303.20001220703125,270.4599914550781,0.10798159443871513,309.2640124511719
ADM,62.20000076293945,0.030969115674225556,0.16505057694999503,0.29669012082931,-0.034380624957712436,0.041176031578518124,0.0868197701671738,63.673423767089844,0.023140313760101935,0.08906753774235057,-0.00046520312334548413,0.9510171259235488,62.75,2757900.0,3190952.0,True,False,57.209999084472656,0.02763778233538009,5.9259259259259265,3.7037037037037033,38.51851851851852,5.9259259259259265,62.75,57.209999084472656,0.08828686717971862,64.005
AIZ,238.22999572753906,0.1002089056746307,0.25630943275677054,0.1775379305205722,0.030470282534823312,0.1227317470256879,-0.013047541232898308,242.1300048828125,0.01610708741843452,0.037023012314188225,0.00263214789753702,0.9980176977952325,243.75999450683594,259400.0,321848.0,False,False,232.9600067138672,0.06789745002671128,19.25925925925926,38.51851851851852,23.703703703703706,24.444444444444443,243.75999450683594,232.9600067138672,0.044305825551148335,248.63519439697265
AKAM,91.2699966430664,0.2461769429981917,0.17904653565778372,-0.022386503359270726,0.16718588616796315,0.05368386345622178,-0.1806140428895382,102.0999984741211,0.10607249748196351,0.10299114573916231,0.010152301615304732,0.7458499514103267,93.94000244140625,6717200.0,3262010.0,True,False,84.54000091552734,0.0408748890005922,60.0,11.11111111111111,3.7037037037037033,12.592592592592592,93.94000244140625,84.54000091552734,0.10006388419823625,95.81880249023438
ALB,169.3300018310547,0.8900631610070879,1.3759925473572965,0.9780680505215034,0.7702582750294722,1.1233640328249739,0.6579161277698973,169.3300018310547,0.0,0.1664796677291258,0.015923445082439168,0.9005197298108778,169.6199951171875,3418600.0,3523754.0,True,False,141.42999267578125,0.9243427244753081,99.25925925925925,98.51851851851852,88.88888888888889,96.29629629629629,169.6199951171875,141.42999267578125,0.16619504334928362,173.01239501953125
AMAT,307.239990234375,0.4662645509349628,0.566334368803254,0.7532940964313146,0.3733228646665616,0.39979313731167876,0.469522020959221,307.239990234375,0.0,0.14451241800461678,0.016222456025392955,0.8269287159407525,309.5,6609100.0,7338976.0,True,False,265.1000061035156,0.4057978322476521,91.11111111111111,85.92592592592592,82.96296296296296,87.4074074074074,309.5,265.1000061035156,0.14345716929397212,315.69
AME,209.75999450683594,0.1718367520210533,0.17980695281907133,0.18336809794245346,0.09755787533766425,0.05436342890856993,-0.00816099114995894,214.16000366210938,0.02054542902518598,0.04528985625850787,0.0021126009641719186,0.719400338382889,214.60000610351562,1236300.0,1425604.0,False,False,205.10000610351562,0.05481687882559245,38.51851851851852,12.592592592592592,25.185185185185183,17.037037037037038,214.60000610351562,205.10000610351562,0.04426840507831826,218.89200622558593
APA,24.920000076293945,0.1485413152908499,0.3118802705121222,0.10801533466450852,0.07573905970607742,0.17239398956719265,-0.07131784840651068,27.100000381469727,0.08044281455680011,0.10232741690423694,-0.00018938086206033865,0.7796468033153593,26.389999389648438,3157100.0,6267556.0,False,False,23.25,0.09465514301411743,31.851851851851855,57.03703703703704,11.851851851851853,32.592592592592595,26.389999389648438,23.25,0.11898444343580063,26.91779937744141
APH,145.11000061035156,0.1946575170208562,0.45286188046187914,1.0357345797573476,0.11893210711829871,0.29838566415810486,0.7062492823483832,145.11000061035156,0.0,0.1146027483485944,0.012682181454926231,0.9215360311306349,147.25,10128200.0,7816352.0,True,False,130.6199951171875,0.3261223206842187,45.925925925925924,79.25925925925927,91.11111111111111,80.74074074074075,147.25,130.6199951171875,0.11293721482385399,150.195
APP,658.6500244140625,0.1557493682713158,0.8506603981725125,1.0007594167397622,0.08249021792066391,0.6538880691455846,0.6769348779107056,733.5999755859375,0.10216733051553244,0.133591417251751,0.010966883678714514,0.8762017609294279,738.010009765625,4370400.0,4032416.0,False,False,595.510009765625,0.48707807553113264,33.33333333333333,92.5925925925926,90.37037037037037,91.11111111111111,738.010009765625,595.510009765625,0.1930868119868113,752.7702099609376
APTV,86.83000183105469,0.0759604103423206,0.23198067104678466,0.42812504803663876,0.007758819550611085,0.10098975223887297,0.1969818475091758,88.66999816894531,0.020751058710803523,0.14372907364232718,-0.0006849816128866045,0.8418311662717851,88.80999755859375,3305100.0,2263126.0,False,False,76.33000183105469,0.09221889148645497,14.074074074074074,34.81481481481482,51.85185185185185,31.11111111111111,88.80999755859375,76.33000183105469,0.14052467144034314,90.58619750976563
