ticker,last_close,r3,r6,r12,rs3,rs6,rs12,high52,near_52w_gap_pct,pivot_tight_range_pct,vol_contraction_score,vol10_over_vol50,breakout_trigger,vol_today,vol50_avg,over_trigger_high,over_trigger_close,pivot_low7,rs_composite,rs3_pctile,rs6_pctile,rs12_pctile,rs_composite_pctile,trigger_price,stop_suggest,risk_pct,max_entry_price,dist_to_trigger_pct,over_trigger,vol_surge_mult,vol_surge,signal
WBD,28.665000915527344,0.5094787393901847,1.6011796483486203,1.7119206947152188,0.46509879414089483,1.3351414217184931,1.2851907107751774,29.979999542236328,0.04386252991286382,0.03209489087424368,0.005464665414006398,0.7442146781315169,30.0,2613923.0,48117382.46,False,False,28.40999984741211,1.0641384912565504,98.44961240310077,98.44961240310077,96.12403100775194,98.44961240310077,30.0,28.40999984741211,0.05300000508626302,30.6,0.044499969482421874,False,0.05432388185647786,False,WATCH
CHRW,165.36500549316406,0.22619507608051093,0.7247588549300448,0.6356353791074123,0.19014390893165367,0.5483574335897297,0.37826256565514993,166.4600067138672,0.006578163982567618,0.03658575182648248,0.010222090649048374,0.7543354922514507,167.89999389648438,127851.0,1548575.02,False,False,160.00999450683594,0.40687440260539093,74.4186046511628,90.69767441860465,75.96899224806202,90.69767441860465,167.89999389648438,160.00999450683594,0.046992255369067315,171.25799377441408,0.015098204261301002,False,0.08256041738294345,False,WATCH_NEAR_TRIGGER
IVZ,27.68000030517578,0.16158664163820124,0.6865866297930836,0.6536021582993674,0.1274350168335776,0.5140893106121138,0.39340221077530924,27.68000030517578,0.0,0.051300580225370325,0.014034973571965387,0.6734175863605419,27.690000534057617,578608.0,5292616.16,True,False,26.270000457763672,0.3739556025111921,55.03875968992248,89.14728682170544,77.51937984496125,88.37209302325581,27.690000534057617,26.270000457763672,0.05128205304826198,28.24380054473877,0.00036114946511236237,True,0.10932362795793601,False,OVER_TRIGGER_WEAK_VOLUME
EXPE,287.55999755859375,0.31387161762555915,0.6230821343362483,0.5557405826073691,0.27524268637053884,0.45707980036904616,0.310939488266877,289.2900085449219,0.005980196118869703,0.041973874762463594,0.013709303766033925,0.5284899765757661,292.4200134277344,161741.0,2085950.82,False,False,277.25,0.37330060374906016,90.69767441860465,87.59689922480621,71.31782945736434,87.59689922480621,292.4200134277344,277.25,0.05187748010101003,298.2684136962891,0.016619983742465965,False,0.07753826142459101,False,WATCH_NEAR_TRIGGER
CMI,528.8150024414062,0.22712195587612416,0.6282038548912847,0.5473233853289483,0.19104353768125448,0.46167769187804875,0.30384676572934377,528.8150024414062,0.0,0.041971213414426535,0.01240904032384399,0.6526584871281822,532.1950073242188,87546.0,884864.92,True,False,510.0,0.3489212603892695,75.1937984496124,88.37209302325581,68.9922480620155,84.49612403100775,532.1950073242188,510.0,0.04170465152578427,542.8389074707031,0.00635106462160658,True,0.09893713494710582,False,OVER_TRIGGER_WEAK_VOLUME
GM,80.51000213623047,0.34160519956532553,0.5607748316166217,0.527008420781806,0.3021608776619078,0.40114503878942087,0.286728430239916,83.05999755859375,0.03070064408037594,0.047199142354112114,0.0076263429570778175,0.7234753950788266,83.68000030517578,844520.0,8883442.4,False,False,79.55999755859375,0.34856646874126596,92.24806201550388,85.27131782945736,65.89147286821705,83.72093023255815,83.68000030517578,79.55999755859375,0.0492352142872447,85.3536003112793,0.03788238715803687,False,0.09506675024988061,False,WATCH
APH,140.39500427246094,0.15092231187740368,0.4293317164870629,1.0370847118247273,0.11708422734238044,0.28314539853635057,0.7165424747101001,143.57315063476562,0.022136077311485237,0.058833963143061566,0.014606598171919906,0.6862830505125215,143.2899932861328,1722730.0,7672596.6,True,False,135.02999877929688,0.3200064624129094,52.71317829457365,79.06976744186046,92.24806201550388,82.17054263565892,143.2899932861328,135.02999877929688,0.05764529900103858,146.15579315185548,0.020203706813573027,True,0.22453024573193384,False,OVER_TRIGGER_WEAK_VOLUME
TPR,130.0399932861328,0.13551731266308242,0.41655431758717554,1.0226400952757522,0.10213214806913307,0.271674820772954,0.7043707679110214,131.3000030517578,0.009596418403191585,0.032682194632646745,0.004278374013723648,0.6887835329378185,131.39999389648438,354230.0,3069720.6,False,False,127.1500015258789,0.3073512083894212,48.06201550387597,76.74418604651163,91.47286821705426,80.62015503875969,131.39999389648438,127.1500015258789,0.03234393126344869,134.02799377441406,0.010350081229249962,False,0.11539486688137024,False,WATCH_NEAR_TRIGGER
GS,955.8900146484375,0.21601673025377455,0.35846186326960305,0.7033950539738827,0.18026481503787362,0.21952382979761942,0.43536002424667575,955.8900146484375,0.0,0.08422518127803168,0.00852683507608558,0.8847430179934772,957.2999877929688,835876.0,1979419.52,True,False,876.7899780273438,0.25091336425950694,71.31782945736434,68.21705426356588,80.62015503875969,78.29457364341084,957.2999877929688,876.7899780273438,0.08410112900057465,976.4459875488282,0.0014728644756195055,True,0.42228339750837657,False,OVER_TRIGGER_WEAK_VOLUME
GE,325.9200134277344,0.098628749223715,0.31386062917822644,0.9652092675428985,0.06632813943868299,0.17948423112835532,0.6559768770782262,325.9200134277344,0.0,0.06615091162740092,0.006273180859889711,0.8328376731901463,329.4299011230469,898209.0,4204998.18,True,False,307.8699951171875,0.2408359328114278,34.10852713178294,57.36434108527132,89.14728682170544,76.74418604651163,329.4299011230469,307.8699951171875,0.06544611139535399,336.0184991455078,0.010654429617187378,True,0.21360508650683888,False,OVER_TRIGGER_WEAK_VOLUME
