ticker,last_close,r3,r6,r12,rs3,rs6,rs12,high52,near_52w_gap_pct,pivot_tight_range_pct,vol_contraction_score,vol10_over_vol50,breakout_trigger,vol_today,vol50_avg,over_trigger_high,over_trigger_close,pivot_low7,rs_composite,rs3_pctile,rs6_pctile,rs12_pctile,rs_composite_pctile,trigger_price,stop_suggest,risk_pct,max_entry_price
AMZN,260.3349914550781,-0.01867773730726352,0.24824987774531637,0.13762889189477168,-0.03993776344316757,0.1152697690493345,-0.051175867625310345,284.0199890136719,0.08339200927669083,0.035953619984955436,0.007924431176369436,0.5992657977277913,287.20001220703125,7628574.0,50385417.48,False,False,257.0400085449219,0.03541838196665491,20.0,80.0,60.0,20.0,287.20001220703125,257.0400085449219,0.10501393586420954,292.9440124511719
JPM,354.7449951171875,0.1617105790332154,0.20473183556682772,0.22040085787128816,0.13654249897271487,0.07638784507306418,0.017858981403365615,365.17999267578125,0.028574943227676446,0.04335510040876496,0.0032493650626302917,0.6209213575159553,366.5,1453914.0,8502222.28,False,False,350.3699951171875,0.08272846850901967,40.0,40.0,80.0,60.0,366.5,350.3699951171875,0.044010927374658934,373.83
LLY,1261.7750244140625,0.18675275139040548,0.21456432209570675,0.7841346823524051,0.16104214084929325,0.08517284491624522,0.48803362334014677,1280.3399658203125,0.01450000929585562,0.10235582565444788,0.011349671857013775,0.7961696465833092,1292.6500244140625,448899.0,2792557.98,False,False,1163.5,0.18850578938093993,80.0,60.0,100.0,100.0,1292.6500244140625,1163.5,0.09991105246959953,1318.5030249023437
MA,596.9199829101562,0.21279612319409402,0.20270706755438828,0.0028043841085447774,0.18652129151354258,0.07457878216517044,-0.1636244416150645,599.8599853515625,0.004901147789818303,0.06687660666934767,0.00135817841011802,0.7905773712048169,601.1799926757812,1038471.0,3352571.42,True,False,561.260009765625,0.06052089021363509,100.0,20.0,20.0,40.0,601.1799926757812,561.260009765625,0.06640271365731437,613.2035925292969
V,382.0450134277344,0.1723680637107543,0.24844812231925517,0.10016130442596327,0.14696909272746383,0.1154468939857225,-0.0824252068655037,382.4100036621094,0.000954447401688526,0.06643197526673973,0.00438819821965527,0.880011451421116,383.42999267578125,1799163.0,8110015.26,False,False,358.04998779296875,0.08532913343799965,60.0,100.0,40.0,80.0,383.42999267578125,358.04998779296875,0.06619201775452448,391.09859252929687
