ticker,last_close,r3,r6,r12,rs3,rs6,rs12,high52,near_52w_gap_pct,pivot_tight_range_pct,vol_contraction_score,vol10_over_vol50,breakout_trigger,vol_today,vol50_avg,over_trigger_high,over_trigger_close,pivot_low7,rs_composite,rs3_pctile,rs6_pctile,rs12_pctile,rs_composite_pctile,trigger_price,stop_suggest,risk_pct,max_entry_price
AMZN,269.760009765625,0.28066848911547204,0.2223481208091742,0.342156338091149,0.18101559291638947,0.06858815106800953,0.025156141756396355,274.989990234375,0.019018803063676856,0.06383452178721502,0.002941437835974805,0.7824108601125984,278.55999755859375,23519428.0,44267704.56,False,False,255.19000244140625,0.09362998176020086,80.0,60.0,40.0,40.0,278.55999755859375,255.19000244140625,0.08389573277574335,284.1311975097656
AVGO,421.4800109863281,0.27099437345049027,0.24389276033263885,0.8577084089104534,0.17209425101946252,0.08742267629194123,0.4189413937392734,439.7900085449219,0.0416335005408007,0.0698728562194769,0.0009933017062717456,0.8032868419137054,442.3599853515625,9556472.0,21603487.44,False,False,405.8599853515625,0.17912789219966405,60.0,80.0,80.0,80.0,442.3599853515625,405.8599853515625,0.0825119839241153,451.2071850585938
GOOGL,391.0400085449219,0.2506081948534702,0.30671833739923704,1.329173778179336,0.15329438594299116,0.14234538292066712,0.7790526603737111,402.6199951171875,0.028761578442956185,0.06863746867683311,0.003299615815932261,0.9050081217139853,408.6099853515625,11217370.0,27838089.4,False,False,381.7699890136719,0.27297153931797313,40.0,100.0,100.0,100.0,408.6099853515625,381.7699890136719,0.06568609994882493,416.78218505859377
NVDA,212.45010375976562,0.08642672957785735,0.18779865844755994,0.6185556847474027,0.0018884036717461417,0.0383846881781158,0.23627349057814784,235.74000549316406,0.09879486379359481,0.0998822822167142,0.0059698533246054526,1.030510221622509,236.5399932861328,105405962.0,159936857.24,False,False,208.77999877929688,0.06701356330621132,20.0,20.0,60.0,20.0,236.5399932861328,208.77999877929688,0.11735856639369986,241.2707931518555
UNH,382.2799987792969,0.35556630495653807,0.21212045853411476,0.3298359880933639,0.25008537103263984,0.059647033121168924,0.015745701176291593,401.1600036621094,0.04706352754626761,0.04860308316311489,-0.004480596776343638,0.7602810527040132,404.1499938964844,2167093.0,8390619.86,False,False,376.4100036621094,0.10799826810563473,100.0,40.0,20.0,60.0,404.1499938964844,376.4100036621094,0.06863785884772299,412.23299377441407
